"REF_DATE","GEO","DGUID","North American Industry Classification System (NAICS)","Summary statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2012","Canada","2016A000011124","Engineering services [54133]","Operating revenue","Dollars","81","millions","6","v99920202","1.1.1","28960.0","","","","1"
"2012","Canada","2016A000011124","Engineering services [54133]","Operating expenses","Dollars","81","millions","6","v99920203","1.1.2","25701.5","","","","1"
"2012","Canada","2016A000011124","Engineering services [54133]","Salaries, wages, commissions and benefits","Dollars","81","millions","6","v99920204","1.1.3","11488.3","","","","1"
"2012","Canada","2016A000011124","Engineering services [54133]","Operating profit margin","Percent","239","units","0","v99920205","1.1.4","11.3","","","","1"
"2012","Newfoundland and Labrador","2016A000210","Engineering services [54133]","Operating revenue","Dollars","81","millions","6","v99920206","2.1.1","470.7","","","","1"
"2012","Newfoundland and Labrador","2016A000210","Engineering services [54133]","Operating expenses","Dollars","81","millions","6","v99920207","2.1.2","404.6","","","","1"
"2012","Newfoundland and Labrador","2016A000210","Engineering services [54133]","Salaries, wages, commissions and benefits","Dollars","81","millions","6","v99920208","2.1.3","178.1","","","","1"
"2012","Newfoundland and Labrador","2016A000210","Engineering services [54133]","Operating profit margin","Percent","239","units","0","v99920209","2.1.4","14.0","","","","1"
"2012","Prince Edward Island","2016A000211","Engineering services [54133]","Operating revenue","Dollars","81","millions","6","v99920210","3.1.1","15.9","","","","1"
"2012","Prince Edward Island","2016A000211","Engineering services [54133]","Operating expenses","Dollars","81","millions","6","v99920211","3.1.2","14.6","","","","1"
"2012","Prince Edward Island","2016A000211","Engineering services [54133]","Salaries, wages, commissions and benefits","Dollars","81","millions","6","v99920212","3.1.3","","x","","","1"
"2012","Prince Edward Island","2016A000211","Engineering services [54133]","Operating profit margin","Percent","239","units","0","v99920213","3.1.4","8.4","","","","1"
"2012","Nova Scotia","2016A000212","Engineering services [54133]","Operating revenue","Dollars","81","millions","6","v99920214","4.1.1","385.5","","","","1"
"2012","Nova Scotia","2016A000212","Engineering services [54133]","Operating expenses","Dollars","81","millions","6","v99920215","4.1.2","356.5","","","","1"
"2012","Nova Scotia","2016A000212","Engineering services [54133]","Salaries, wages, commissions and benefits","Dollars","81","millions","6","v99920216","4.1.3","167.2","","","","1"
"2012","Nova Scotia","2016A000212","Engineering services [54133]","Operating profit margin","Percent","239","units","0","v99920217","4.1.4","7.5","","","","1"
"2012","New Brunswick","2016A000213","Engineering services [54133]","Operating revenue","Dollars","81","millions","6","v99920218","5.1.1","326.4","","","","1"
"2012","New Brunswick","2016A000213","Engineering services [54133]","Operating expenses","Dollars","81","millions","6","v99920219","5.1.2","302.1","","","","1"
"2012","New Brunswick","2016A000213","Engineering services [54133]","Salaries, wages, commissions and benefits","Dollars","81","millions","6","v99920220","5.1.3","149.6","","","","1"
"2012","New Brunswick","2016A000213","Engineering services [54133]","Operating profit margin","Percent","239","units","0","v99920221","5.1.4","7.4","","","","1"
"2012","Quebec","2016A000224","Engineering services [54133]","Operating revenue","Dollars","81","millions","6","v99920222","6.1.1","5691.1","","","","1"
"2012","Quebec","2016A000224","Engineering services [54133]","Operating expenses","Dollars","81","millions","6","v99920223","6.1.2","4941.6","","","","1"
"2012","Quebec","2016A000224","Engineering services [54133]","Salaries, wages, commissions and benefits","Dollars","81","millions","6","v99920224","6.1.3","2134.1","","","","1"
"2012","Quebec","2016A000224","Engineering services [54133]","Operating profit margin","Percent","239","units","0","v99920225","6.1.4","13.2","","","","1"
"2012","Ontario","2016A000235","Engineering services [54133]","Operating revenue","Dollars","81","millions","6","v99920226","7.1.1","7069.4","","","","1"
"2012","Ontario","2016A000235","Engineering services [54133]","Operating expenses","Dollars","81","millions","6","v99920227","7.1.2","6359.9","","","","1"
"2012","Ontario","2016A000235","Engineering services [54133]","Salaries, wages, commissions and benefits","Dollars","81","millions","6","v99920228","7.1.3","3169.7","","","","1"
"2012","Ontario","2016A000235","Engineering services [54133]","Operating profit margin","Percent","239","units","0","v99920229","7.1.4","10.1","","","","1"
"2012","Manitoba","2016A000246","Engineering services [54133]","Operating revenue","Dollars","81","millions","6","v99920230","8.1.1","371.9","","","","1"
